Row.names,opFG%,op3P%,opTRB,opAST,opSTL,opBLK,opTOV,opPF,opPTS
Cleveland Cavaliers,.468,.368,41.2,23.0,7.0,4.4,15.7,20.4,106.9
Miami Heat,.482,.367,41.8,25.6,7.0,3.8,15.7,20.0,109.8
Philadelphia 76ers,.473,.348,41.2,24.2,6.6,4.6,14.3,19.6,110.9
Boston Celtics,.463,.345,44.0,23.1,6.6,3.9,12.7,19.1,111.4
Toronto Raptors,.491,.374,42.3,26.2,6.0,4.6,16.7,19.6,111.4
Phoenix Suns,.466,.357,42.9,23.4,7.2,4.0,14.4,19.9,111.6
Chicago Bulls,.468,.357,43.3,26.0,6.7,4.7,15.0,18.7,111.8
Denver Nuggets,.478,.344,40.8,25.7,7.9,4.2,13.5,19.5,112.5
Brooklyn Nets,.463,.367,45.1,23.4,7.0,3.9,13.7,18.5,112.5
New Orleans Pelicans,.472,.339,41.8,24.9,7.3,4.7,15.0,20.4,112.5
Memphis Grizzlies,.453,.355,44.4,26.4,6.8,5.2,15.1,20.0,113.0
New York Knicks,.462,.357,42.0,25.1,6.0,4.5,12.7,20.7,113.1
Los Angeles Clippers,.474,.365,43.1,25.0,7.8,4.2,13.0,19.6,113.1
Milwaukee Bucks,.456,.354,44.2,23.9,7.0,3.9,11.8,19.0,113.3
Orlando Magic,.476,.351,42.0,25.9,7.7,5.1,14.7,20.5,114.0
Dallas Mavericks,.485,.352,44.7,24.9,6.4,3.8,13.1,21.8,114.1
Washington Wizards,.473,.366,43.0,24.8,7.1,5.0,12.3,19.4,114.4
Minnesota Timberwolves,.471,.369,44.7,25.0,8.2,4.1,15.4,20.2,115.8
Oklahoma City Thunder,.474,.358,46.6,25.9,7.0,5.5,16.8,20.4,116.4
Los Angeles Lakers,.469,.344,44.9,25.7,7.6,5.1,12.6,21.5,116.6
Golden State Warriors,.469,.364,43.3,25.7,7.9,4.0,14.3,18.4,117.1
Charlotte Hornets,.477,.357,46.2,25.9,7.0,5.7,14.4,20.3,117.2
Portland Trail Blazers,.491,.379,43.2,27.0,7.8,4.3,13.5,20.5,117.4
Utah Jazz,.473,.361,43.5,25.0,7.8,4.9,12.6,20.5,118.0
Sacramento Kings,.492,.373,42.2,26.7,7.3,4.2,14.2,20.9,118.1
Atlanta Hawks,.486,.356,44.1,26.0,7.5,5.0,14.2,19.7,118.1
Detroit Pistons,.489,.360,44.7,25.8,7.7,5.5,13.5,21.0,118.5
Houston Rockets,.482,.374,41.5,26.1,8.8,6.2,13.2,20.6,118.6
Indiana Pacers,.485,.373,45.3,26.4,7.9,5.3,15.1,20.2,119.5
San Antonio Spurs,.507,.391,45.0,26.8,8.1,5.3,13.8,18.5,123.1