Row.names,FG%,3P%,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings,.494,.369,42.5,27.3,7.0,3.4,13.5,19.7,120.7
Golden State Warriors,.479,.385,44.6,29.8,7.2,3.9,16.3,21.4,118.9
Atlanta Hawks,.483,.352,44.4,25.0,7.1,4.9,12.9,18.8,118.4
Boston Celtics,.475,.377,45.3,26.7,6.4,5.2,13.4,18.8,117.9
Oklahoma City Thunder,.465,.356,43.6,24.4,8.2,4.2,13.0,21.0,117.5
Los Angeles Lakers,.482,.346,45.7,25.3,6.4,4.6,14.1,17.9,117.2
Utah Jazz,.473,.353,45.9,26.0,6.1,5.2,15.4,20.5,117.1
Memphis Grizzlies,.475,.351,46.6,26.0,8.3,5.8,13.6,20.0,116.9
Milwaukee Bucks,.473,.368,48.6,25.8,6.4,4.9,14.6,18.1,116.9
Indiana Pacers,.469,.367,41.5,27.0,7.7,5.8,14.9,21.2,116.3
New York Knicks,.470,.354,46.6,22.9,6.4,4.1,13.0,20.3,116.0
Denver Nuggets,.504,.379,43.0,28.9,7.5,4.5,14.5,18.6,115.8
Minnesota Timberwolves,.490,.365,41.9,26.2,8.0,5.4,15.3,21.6,115.8
Philadelphia 76ers,.487,.387,40.9,25.2,7.7,4.7,13.7,20.4,115.2
New Orleans Pelicans,.480,.364,43.7,25.9,8.3,4.1,14.6,20.5,114.4
Dallas Mavericks,.475,.371,38.8,22.9,6.3,3.7,12.2,20.7,114.2
Phoenix Suns,.467,.374,44.2,27.3,7.1,5.3,13.5,21.2,113.6
Los Angeles Clippers,.477,.381,43.2,23.9,7.1,4.4,14.2,19.5,113.6
Portland Trail Blazers,.474,.365,40.5,24.2,6.7,4.6,14.5,20.0,113.4
Brooklyn Nets,.487,.378,40.5,25.5,7.1,6.2,13.7,21.1,113.4
Washington Wizards,.485,.356,43.6,25.4,6.8,5.2,14.1,18.8,113.2
Chicago Bulls,.490,.361,42.4,24.5,7.9,4.5,13.4,18.9,113.1
San Antonio Spurs,.465,.345,43.7,27.2,7.0,3.9,15.3,19.9,113.0
Toronto Raptors,.459,.335,43.0,23.9,9.4,5.2,11.7,20.0,112.9
Cleveland Cavaliers,.488,.367,41.1,24.9,7.1,4.7,13.3,19.0,112.3
Orlando Magic,.470,.346,43.2,23.2,7.4,4.7,15.1,20.1,111.4
Charlotte Hornets,.457,.330,44.5,25.1,7.7,5.2,14.2,20.3,111.0
Houston Rockets,.457,.327,46.3,22.4,7.3,4.6,16.2,20.5,110.7
Detroit Pistons,.454,.351,42.4,23.0,7.0,3.8,15.1,22.1,110.3
Miami Heat,.460,.344,40.6,23.8,8.0,3.0,13.5,18.5,109.5